Table S1. List of 952 mtDNA genomes identified in modern Japanese.			
Haplogroups	Accession Numbers	Sample Names	References
G	AP008720.1	HNsq0246	[30]
G	AP008722.1	HNsq0248	[30]
G	AP008753.1	NDsq0060	[30]
G	AP008760.1	NDsq0075	[30]
G	AP008792.1	NDsq0158	[30]
G	AP008800.1	NDsq0173	[30]
G	AP008809.1	NDsq0192	[30]
G	AP008816.1	NDsq0208	[30]
G	AP008833.1	JDsq0011	[30]
G	AP008836.1	JDsq0014	[30]
G	AP008845.1	JDsq0026	[30]
G	AP008859.1	JDsq0040	[30]
G	AP008861.1	JDsq0043	[30]
G	AP008884.1	JDsq0067	[30]
G	AP008885.1	JDsq0068	[30]
G	AP008894.1	JDsq0078	[30]
G	AP008897.1	JDsq0081	[30]
G	AP008909.1	JDsq0093	[30]
G	AP008911.1	JDsq0095	[30]
G	AP008915.1	JDsq0099	[30]
G	AP008918.1	JDsq0102	[30]
G	AP009446.1	mdmd28	[54]
G	AP009447.1	mdmd29	[54]
G	AP009454.1	mdmd36	[54]
G	AP009460.1	mdmd42	[54]
G	AP010665.1	SCsq0005	[56]
G	AP010684.1	SCsq0024	[56]
G	AP010690.1	SCsq0030	[56]
G	AP010703.1	SCsq0043	[56]
G	AP010753.1	SCsq0093	[56]
G	AP010768.1	SCsq0109	[56]
G	AP010772.1	SCsq0113	[56]
G	AP010829.1	CB1022	[59]
G	AP010992.1	SPsq0026	[58]
G	AP011017.1	SPsq0051	[58]
G	AP011049.1	SPsq0086	[58]
G	AP011057.1	SPsq0094	[58]
G	EU597571.1	NA18962	[57]
M10	AP008599.1	ONsq0096	[30]
M10	AP008719.1	HNsq0245	[30]
M10	AP008752.1	NDsq0057	[30]
M10	AP008783.1	NDsq0133	[30]
M10	AP010668.1	SCsq0008	[56]
M10	AP010748.1	SCsq0088	[56]
M11	AP008639.1	HNsq0152	[30]
M11	AP010716.1	SCsq0056	[56]
M11	AP010828.1	HO1019	[59]
M13	AP008370.1	PDsq0032	[30]
M13	AP008495.1	KAsq0057	[30]
M13	AP008623.1	ONsq0136	[30]
M13	AP008678.1	HNsq0191	[30]
M7a	AP008249.1	GCsq0007	[30]
M7a	AP008266.1	TCsq0007	[30]
M7a	AP008274.1	TCsq0015	[30]
M7a	AP008280.1	TCsq0021	[30]
M7a	AP008295.1	TCsq0036	[30]
M7a	AP008316.1	TCsq0057	[30]
M7a	AP008327.1	TCsq0068	[30]
M7a	AP008351.1	PDsq0008	[30]
M7a	AP008367.1	PDsq0029	[30]
M7a	AP008372.1	PDsq0034	[30]
M7a	AP008376.1	PDsq0038	[30]
M7a	AP008387.1	PDsq0056	[30]
M7a	AP008394.1	PDsq0068	[30]
M7a	AP008402.1	PDsq0088	[30]
M7a	AP008404.1	PDsq0094	[30]
M7a	AP008405.1	PDsq0095	[30]
M7a	AP008439.1	PDsq0143	[30]
M7a	AP008466.1	KAsq0028	[30]
M7a	AP008483.1	KAsq0045	[30]
M7a	AP008503.1	KAsq0065	[30]
M7a	AP008507.1	KAsq0069	[30]
M7a	AP008509.1	KAsq0071	[30]
M7a	AP008517.1	KAsq0080	[30]
M7a	AP008548.1	ONsq0017	[30]
M7a	AP008585.1	ONsq0072	[30]
M7a	AP008592.1	ONsq0086	[30]
M7a	AP008600.1	ONsq0097	[30]
M7a	AP008643.1	HNsq0156	[30]
M7a	AP008653.1	HNsq0166	[30]
M7a	AP008671.1	HNsq0184	[30]
M7a	AP008689.1	HNsq0213	[30]
M7a	AP008695.1	HNsq0219	[30]
M7a	AP008699.1	HNsq0223	[30]
M7a	AP008711.1	HNsq0237	[30]
M7a	AP008721.1	HNsq0247	[30]
M7a	AP008725.1	HNsq0251	[30]
M7a	AP008728.1	HNsq0254	[30]
M7a	AP008731.1	NDsq0006	[30]
M7a	AP008734.1	NDsq0016	[30]
M7a	AP008750.1	NDsq0052	[30]
M7a	AP008758.1	NDsq0070	[30]
M7a	AP008779.1	NDsq0121	[30]
M7a	AP008799.1	NDsq0168	[30]
M7a	AP008801.1	NDsq0178	[30]
M7a	AP008913.1	JDsq0097	[30]
M7a	AP009420.1	mdmd2	[54]
M7a	AP009423.1	mdmd5	[54]
M7a	AP009427.1	mdmd9	[54]
M7a	AP009435.1	mdmd17	[54]
M7a	AP009443.1	mdmd25	[54]
M7a	AP009451.1	mdmd33	[54]
M7a	AP009466.1	mdmd48	[54]
M7a	AP010672.1	SCsq0012	[56]
M7a	AP010680.1	SCsq0020	[56]
M7a	AP010692.1	SCsq0032	[56]
M7a	AP010717.1	SCsq0057	[56]
M7a	AP010730.1	SCsq0070	[56]
M7a	AP010747.1	SCsq0087	[56]
M7a	AP010750.1	SCsq0090	[56]
M7a	AP010763.1	SCsq0104	[56]
M7a	AP010824.1	CB1082	[59]
M7a	AP010825.1	GM1009	[59]
M7a	AP010826.1	SO1097	[59]
M7a	AP010986.1	SPsq0020	[58]
M7a	AP010997.1	SPsq0031	[58]
M7a	AP011009.1	SPsq0043	[58]
M7a	DQ112866.2	AS06	[55]
M7b	AP008270.1	TCsq0011	[30]
M7b	AP008282.1	TCsq0023	[30]
M7b	AP008297.1	TCsq0038	[30]
M7b	AP008299.1	TCsq0040	[30]
M7b	AP008310.1	TCsq0051	[30]
M7b	AP008330.1	TCsq0071	[30]
M7b	AP008341.1	TCsq0082	[30]
M7b	AP008350.1	PDsq0007	[30]
M7b	AP008354.1	PDsq0013	[30]
M7b	AP008359.1	PDsq0020	[30]
M7b	AP008365.1	PDsq0027	[30]
M7b	AP008429.1	PDsq0128	[30]
M7b	AP008455.1	KAsq0017	[30]
M7b	AP008469.1	KAsq0031	[30]
M7b	AP008485.1	KAsq0047	[30]
M7b	AP008514.1	KAsq0077	[30]
M7b	AP008541.1	ONsq0010	[30]
M7b	AP008555.1	ONsq0029	[30]
M7b	AP008571.1	ONsq0050	[30]
M7b	AP008586.1	ONsq0074	[30]
M7b	AP008588.1	ONsq0081	[30]
M7b	AP008621.1	ONsq0134	[30]
M7b	AP008625.1	ONsq0140	[30]
M7b	AP008686.1	HNsq0210	[30]
M7b	AP008729.1	NDsq0001	[30]
M7b	AP008794.1	NDsq0161	[30]
M7b	AP008797.1	NDsq0165	[30]
M7b	AP008887.1	JDsq0071	[30]
M7b	AP008902.1	JDsq0086	[30]
M7b	AP009421.1	mdmd3	[54]
M7b	AP009459.1	mdmd41	[54]
M7b	AP010661.1	SCsq0001	[56]
M7b	AP010681.1	SCsq0021	[56]
M7b	AP010685.1	SCsq0025	[56]
M7b	AP010698.1	SCsq0038	[56]
M7b	AP010719.1	SCsq0059	[56]
M7b	AP010739.1	SCsq0079	[56]
M7b	AP010758.1	SCsq0099	[56]
M7b	AP010979.1	SPsq0012	[58]
M7b	AP010993.1	SPsq0027	[58]
M7b	AP010996.1	SPsq0030	[58]
M7b	AP011022.1	SPsq0056	[58]
M7b	AP011039.1	SPsq0076	[58]
M7b	AP011048.1	SPsq0085	[58]
M7c	AP008336.1	TCsq0077	[30]
M7c	AP008647.1	HNsq0160	[30]
M7c	AP008755.1	NDsq0066	[30]
M7c	AP008886.1	JDsq0069	[30]
M7c	AP010827.1	FS1040	[59]
M8a	AP008373.1	PDsq0035	[30]
M8a	AP008435.1	PDsq0137	[30]
M8a	AP008531.1	KAsq0094	[30]
M8a	AP008705.1	HNsq0231	[30]
M8a	AP008727.1	HNsq0253	[30]
M8a	AP008735.1	NDsq0017	[30]
M8a	AP008736.1	NDsq0018	[30]
M8a	AP008803.1	NDsq0181	[30]
M8a	AP008807.1	NDsq0189	[30]
M8a	AP008823.1	NDsq0219	[30]
M8a	AP011056.1	SPsq0093	[58]
M8-C	AP008311.1	TCsq0052	[30]
M8-C	AP008664.1	HNsq0177	[30]
M8-Z	AP008305.1	TCsq0046	[30]
M8-Z	AP008381.1	PDsq0047	[30]
M8-Z	AP008419.1	PDsq0117	[30]
M8-Z	AP008426.1	PDsq0125	[30]
M8-Z	AP008553.1	ONsq0027	[30]
M8-Z	AP008756.1	NDsq0067	[30]
M8-Z	AP008829.1	JDsq0007	[30]
M8-Z	AP008841.1	JDsq0021	[30]
M8-Z	AP011007.1	SPsq0041	[58]
M8-Z	AP011044.1	SPsq0081	[58]
M9	AP008353.1	PDsq0011	[30]
M9	AP008378.1	PDsq0043	[30]
M9	AP008629.1	ONsq0144	[30]
M9	AP008677.1	HNsq0190	[30]
M9	AP008702.1	HNsq0226	[30]
M9	AP008704.1	HNsq0228	[30]
M9	AP008710.1	HNsq0236	[30]
M9	AP008766.1	NDsq0099	[30]
M9	AP008815.1	NDsq0207	[30]
M9	AP008860.1	JDsq0041	[30]
M9	AP008863.1	JDsq0045	[30]
M9	AP010662.1	SCsq0002	[56]
M9	AP010687.1	SCsq0027	[56]
M9	AP010767.1	SCsq0108	[56]
M9	AP011019.1	SPsq0053	[58]
N9a	AP008261.1	TCsq0002	[30]
N9a	AP008317.1	TCsq0058	[30]
N9a	AP008385.1	PDsq0053	[30]
N9a	AP008400.1	PDsq0079	[30]
N9a	AP008406.1	PDsq0096	[30]
N9a	AP008414.1	PDsq0111	[30]
N9a	AP008420.1	PDsq0118	[30]
N9a	AP008430.1	PDsq0130	[30]
N9a	AP008443.1	KAsq0005	[30]
N9a	AP008456.1	KAsq0018	[30]
N9a	AP008513.1	KAsq0075	[30]
N9a	AP008522.1	KAsq0085	[30]
N9a	AP008525.1	KAsq0088	[30]
N9a	AP008554.1	ONsq0028	[30]
N9a	AP008558.1	ONsq0034	[30]
N9a	AP008590.1	ONsq0083	[30]
N9a	AP008608.1	ONsq0111	[30]
N9a	AP008630.1	ONsq0148	[30]
N9a	AP008642.1	HNsq0155	[30]
N9a	AP008673.1	HNsq0186	[30]
N9a	AP008714.1	HNsq0240	[30]
N9a	AP008726.1	HNsq0252	[30]
N9a	AP008742.1	NDsq0032	[30]
N9a	AP008775.1	NDsq0110	[30]
N9a	AP008824.1	NDsq0220	[30]
N9a	AP008832.1	JDsq0010	[30]
N9a	AP008840.1	JDsq0020	[30]
N9a	AP008843.1	JDsq0023	[30]
N9a	AP008850.1	JDsq0031	[30]
N9a	AP008870.1	JDsq0052	[30]
N9a	AP008873.1	JDsq0055	[30]
N9a	AP008877.1	JDsq0060	[30]
N9a	AP008882.1	JDsq0065	[30]
N9a	AP008895.1	JDsq0079	[30]
N9a	AP009426.1	mdmd8	[54]
N9a	AP009434.1	mdmd16	[54]
N9a	AP009438.1	mdmd20	[54]
N9a	AP009458.1	mdmd40	[54]
N9a	AP009470.1	mdmd52	[54]
N9a	AP009473.1	mdmd55	[54]
N9a	AP010674.1	SCsq0014	[56]
N9a	AP010725.1	SCsq0065	[56]
N9a	AP010734.1	SCsq0074	[56]
N9a	AP010736.1	SCsq0076	[56]
N9a	AP010744.1	SCsq0084	[56]
N9a	AP010995.1	SPsq0029	[58]
N9a	AP011014.1	SPsq0048	[58]
N9a	AP011016.1	SPsq0050	[58]
N9a	AP011020.1	SPsq0054	[58]
N9a	AP011045.1	SPsq0082	[58]
N9a	AP011046.1	SPsq0083	[58]
N9b	AP008464.1	KAsq0026	[30]
N9b	AP008474.1	KAsq0036	[30]
N9b	AP008504.1	KAsq0066	[30]
N9b	AP008529.1	KAsq0092	[30]
N9b	AP008556.1	ONsq0032	[30]
N9b	AP008605.1	ONsq0105	[30]
N9b	AP008607.1	ONsq0110	[30]
N9b	AP008610.1	ONsq0114	[30]
N9b	AP008620.1	ONsq0130	[30]
N9b	AP008635.1	HNsq0030	[30]
N9b	AP008660.1	HNsq0173	[30]
N9b	AP008666.1	HNsq0179	[30]
N9b	AP008740.1	NDsq0027	[30]
N9b	AP008784.1	NDsq0138	[30]
N9b	AP008790.1	NDsq0153	[30]
N9b	AP008821.1	NDsq0216	[30]
N9b	AP008837.1	JDsq0015	[30]
N9b	AP008901.1	JDsq0085	[30]
N9b	AP009475.1	mdmd57	[54]
N9b	AP010722.1	SCsq0062	[56]
N9b	AP010834.1	KN221	[59]
N9b	AP010970.1	SPsq0001	[58]
R11	AP010998.1	SPsq0032	[58]
Y	AP008534.1	KAsq0097	[30]
Y	AP008723.1	HNsq0249	[30]
Y	AP008764.1	NDsq0088	[30]
Y	AP009439.1	mdmd21	[54]
